,名称,カテゴリー,アドレス,アクセス,築年数,構造,階数,家賃,管理費,敷金,礼金,間取り,面積,URL
10284,東急大井町線 上野毛駅 8階建 築1年,賃貸マンション,東京都世田谷区瀬田２,東急大井町線/上野毛駅 歩10分,築1年,8階建,5階,19.9万円,18000円,19.9万円,19.9万円,1LDK,51.46m2,https://suumo.jp/chintai/jnc_000078973608/?bc=100309823819
10285,東急大井町線 上野毛駅 8階建 築1年,賃貸マンション,東京都世田谷区瀬田２,東急大井町線/上野毛駅 歩10分,築1年,8階建,5階,20.9万円,18000円,-,-,1LDK,51.46m2,https://suumo.jp/chintai/jnc_000078973609/?bc=100309823821
10290,京王線 千歳烏山駅 4階建 築39年,賃貸マンション,東京都世田谷区給田３,京王線/千歳烏山駅 歩10分,築39年,4階建,1階,15.1万円,4000円,15.1万円,15.1万円,2LDK,50.74m2,https://suumo.jp/chintai/jnc_000079127715/?bc=100309727511
10293,東急田園都市線 駒沢大学駅 2階建 築54年,賃貸テラス・タウンハウス,東京都世田谷区野沢１,東急田園都市線/駒沢大学駅 歩10分,築54年,2階建,1-2階,18.3万円,-,18.3万円,18.3万円,4DK,81.6m2,https://suumo.jp/chintai/jnc_000079138736/?bc=100309796555
10296,ＪＫＫ東京　コーシャハイム大森東,賃貸マンション,東京都大田区大森東１,京急本線/平和島駅 歩5分,築40年,11階建,6階,11.89万円,3000円,23.78万円,-,3DK,62.97m2,https://suumo.jp/chintai/jnc_000078404310/?bc=100305535404
10297,ＪＫＫ東京　コーシャハイム大森東,賃貸マンション,東京都大田区大森東１,京急本線/平和島駅 歩5分,築40年,11階建,8階,11.89万円,3000円,23.78万円,-,3DK,62.97m2,https://suumo.jp/chintai/jnc_000079127563/?bc=100309713777
10302,レオパレス幡ヶ谷第２,賃貸アパート,東京都渋谷区本町５,京王新線/幡ヶ谷駅 歩14分,築38年,2階建,1階,12.5万円,-,-,12.5万円,1LDK,51.03m2,https://suumo.jp/chintai/jnc_000078873483/?bc=100304677191
10303,レオパレス幡ヶ谷第２,賃貸アパート,東京都渋谷区本町５,京王新線/幡ヶ谷駅 歩14分,築38年,2階建,1階,13.5万円,-,-,13.5万円,1LDK,51.03m2,https://suumo.jp/chintai/jnc_000058973089/?bc=100279001183
10308,クレストフォルム南馬込,賃貸マンション,東京都大田区南馬込１,都営浅草線/馬込駅 歩3分,築23年,11階建,4階,17.5万円,-,35万円,-,2LDK,71.62m2,https://suumo.jp/chintai/jnc_000020497802/?bc=100308874159
10311,ＪＲ総武線 荻窪駅 3階建 築38年,賃貸マンション,東京都杉並区荻窪５,ＪＲ総武線/荻窪駅 歩3分,築38年,3階建,3階,16万円,-,16万円,16万円,2DK,51.78m2,https://suumo.jp/chintai/jnc_000078613648/?bc=100309579736
10314,CROSS POINT DAIZAWA,賃貸マンション,東京都世田谷区代沢４,東急田園都市線/三軒茶屋駅 歩12分,築9年,3階建,2階,16.8万円,5000円,16.8万円,16.8万円,1LDK,57.8m2,https://suumo.jp/chintai/jnc_000028163845/?bc=100309693373
10317,西武新宿線 井荻駅 3階建 築6年,賃貸マンション,東京都杉並区今川２,西武新宿線/井荻駅 歩20分,築6年,3階建,2階,16万円,10000円,16万円,16万円,2LDK,55.51m2,https://suumo.jp/chintai/jnc_000077291286/?bc=100309579752
10320,都電荒川線 早稲田駅 地下2地上14階建 築30年,賃貸マンション,東京都新宿区西早稲田１,都電荒川線/早稲田駅 歩2分,築30年,地下2地上14階建,10階,20.5万円,12000円,20.5万円,20.5万円,2LDK,73.56m2,https://suumo.jp/chintai/jnc_000079144404/?bc=100309821557
10323,南雪谷戸建,賃貸一戸建て,東京都大田区南雪谷３,東急池上線/雪が谷大塚駅 歩10分,築13年,3階建,-,25万円,-,50万円,25万円,2SLDK,91.32m2,https://suumo.jp/chintai/jnc_000077420517/?bc=100300449418
10324,南雪谷戸建,賃貸一戸建て,東京都大田区南雪谷３,東急池上線/雪が谷大塚駅 歩10分,築13年,3階建,1階,25万円,-,50万円,25万円,2SLDK,91.32m2,https://suumo.jp/chintai/jnc_000077911835/?bc=100303288913
10325,南雪谷戸建,賃貸一戸建て,東京都大田区南雪谷３,東急池上線/雪が谷大塚駅 歩10分,築13年,3階建,-,25万円,-,50万円,25万円,2SLDK,91.32m2,https://suumo.jp/chintai/jnc_000077964430/?bc=100303568230
10332,成城ストリームハイツ,賃貸マンション,東京都世田谷区成城８,小田急線/成城学園前駅 歩15分,築34年,5階建,4階,20.3万円,10000円,20.3万円,24.36万円,3LDK,83.89m2,https://suumo.jp/chintai/jnc_000077840250/?bc=100302919181
10333,成城ストリームハイツ,賃貸マンション,東京都世田谷区成城８,小田急線/成城学園前駅 歩15分,築34年,5階建,2階,21万円,10000円,21万円,25.2万円,3SLDK,94.32m2,https://suumo.jp/chintai/jnc_000078988786/?bc=100309006317
10338,小田急線 成城学園前駅 5階建 築34年,賃貸マンション,東京都世田谷区成城８,小田急線/成城学園前駅 歩17分,築34年,5階建,2階,21万円,10000円,21万円,25.2万円,3LDK,94.32m2,https://suumo.jp/chintai/jnc_000078988787/?bc=100309091477
10341,プルミエ田園調布,賃貸マンション,東京都世田谷区玉川田園調布１,東急東横線/田園調布駅 歩6分,築42年,5階建,2階,19万円,10000円,38万円,19万円,2LDK,62.96m2,https://suumo.jp/chintai/jnc_000079133642/?bc=100309744590
10344,ＪＲ中央線 荻窪駅 3階建 築31年,賃貸マンション,東京都杉並区今川４,ＪＲ中央線/荻窪駅 バス10分 (バス停)井草八幡宮 歩3分,築31年,3階建,3階,11.7万円,11000円,11.7万円,11.7万円,2LDK,52.73m2,https://suumo.jp/chintai/jnc_000078377041/?bc=100305381158
10347,稲葉邸 A棟,賃貸一戸建て,東京都大田区西糀谷２,京急本線/京急蒲田駅 歩14分,築27年,2階建,1階,15.2万円,-,15.2万円,15.2万円,3LDK,68.68m2,https://suumo.jp/chintai/jnc_000055251065/?bc=100309182190
10350,大原KYハイツ,賃貸マンション,東京都世田谷区大原１,京王線/笹塚駅 歩5分,築20年,地下1地上3階建,1階,21万円,5000円,21万円,21万円,1LDK,72.93m2,https://suumo.jp/chintai/jnc_000079144569/?bc=100309807851
10353,京王線 笹塚駅 地下1地上3階建 築20年,賃貸マンション,東京都世田谷区大原１,京王線/笹塚駅 歩5分,築20年,地下1地上3階建,1階,21万円,5000円,21万円,21万円,1LDK,72.93m2,https://suumo.jp/chintai/jnc_000079144570/?bc=100309810561
10356,玉川サンケイハウス,賃貸マンション,東京都世田谷区上用賀１,東急田園都市線/用賀駅 歩9分,築55年,8階建,3階,13.5万円,-,13.5万円,13.5万円,2LDK,50.41m2,https://suumo.jp/chintai/jnc_000079149073/?bc=100309830977
10359,東京メトロ副都心線 西早稲田駅 地下1地上5階建 築21年,賃貸マンション,東京都新宿区西早稲田２,東京メトロ副都心線/西早稲田駅 歩4分,築21年,地下1地上5階建,1階,15.5万円,10000円,15.5万円,15.5万円,1LDK,53.62m2,https://suumo.jp/chintai/jnc_000075979412/?bc=100307753605
10360,東京メトロ副都心線 西早稲田駅 地下1地上5階建 築21年,賃貸マンション,東京都新宿区西早稲田２,東京メトロ副都心線/西早稲田駅 歩4分,築21年,地下1地上5階建,2階,18.2万円,10000円,18.2万円,18.2万円,2LDK,57.86m2,https://suumo.jp/chintai/jnc_000076502188/?bc=100307478399
10365,山王１丁目賃貸住宅,賃貸テラス・タウンハウス,東京都大田区山王１,ＪＲ京浜東北線/大森駅 歩10分,築25年,2階建,1階,16.5万円,-,16.5万円,33万円,2LDK,65.82m2,https://suumo.jp/chintai/jnc_000079138677/?bc=100309796367
10368,ＪＲ京浜東北線 大森駅 2階建 築25年,賃貸テラス・タウンハウス,東京都大田区山王１,ＪＲ京浜東北線/大森駅 歩10分,築25年,2階建,1階,16.5万円,-,16.5万円,33万円,2LDK,65.82m2,https://suumo.jp/chintai/jnc_000079144543/?bc=100309803990
10371,東急東横線 祐天寺駅 2階建 築24年,賃貸マンション,東京都世田谷区下馬５,東急東横線/祐天寺駅 歩12分,築24年,2階建,1階,19.4万円,-,19.4万円,19.4万円,2LDK,68.18m2,https://suumo.jp/chintai/jnc_000079104881/?bc=100309676585
10374,北嶺町貸家,賃貸一戸建て,東京都大田区北嶺町,東急池上線/御嶽山駅 歩1分,築7年,3階建,1階,19.8万円,-,-,19.8万円,2LDK,63.23m2,https://suumo.jp/chintai/jnc_000034031707/?bc=100309330587
10375,北嶺町貸家,賃貸一戸建て,東京都大田区北嶺町,東急池上線/御嶽山駅 歩1分,築7年,3階建,-,19.8万円,-,-,19.8万円,2LDK,63.23m2,https://suumo.jp/chintai/jnc_000034139210/?bc=100309197561
10380,東急池上線 雪が谷大塚駅 6階建 築2年,賃貸マンション,東京都大田区南雪谷１,東急池上線/雪が谷大塚駅 歩4分,築2年,6階建,6階,16.9万円,15000円,16.9万円,16.9万円,1LDK,52.14m2,https://suumo.jp/chintai/jnc_000079001309/?bc=100309521621
10383,サンハイム雪が谷大塚,賃貸マンション,東京都大田区南雪谷１,東急池上線/雪が谷大塚駅 歩4分,築2年,6階建,6階,16.9万円,15000円,16.9万円,16.9万円,1LDK,52.14m2,https://suumo.jp/chintai/jnc_000078998339/?bc=100309072254
10384,サンハイム雪が谷大塚,賃貸マンション,東京都大田区南雪谷１,東急池上線/雪が谷大塚駅 歩4分,築2年,6階建,6階,16.9万円,15000円,16.9万円,16.9万円,1LDK,52.14m2,https://suumo.jp/chintai/jnc_000079110838/?bc=100309634672
10389,品川プリンス・レジデンス,賃貸マンション,東京都港区高輪４,ＪＲ山手線/品川駅 歩4分,築28年,14階建,2階,23.3万円,-,23.3万円,23.3万円,1LDK,60.75m2,https://suumo.jp/chintai/jnc_000077631908/?bc=100309000261
10390,品川プリンス・レジデンス,賃貸マンション,東京都港区高輪４,ＪＲ山手線/品川駅 歩4分,築28年,14階建,4階,24.2万円,-,24.2万円,24.2万円,1LDK,58.08m2,https://suumo.jp/chintai/jnc_000077240585/?bc=100300932827
10395,松原戸建,賃貸一戸建て,東京都世田谷区松原３,京王線/下高井戸駅 歩5分,築13年,3階建,1階,21万円,-,42万円,21万円,1SLDK,74.86m2,https://suumo.jp/chintai/jnc_000077031963/?bc=100298596650
10396,松原戸建,賃貸一戸建て,東京都世田谷区松原３,京王線/下高井戸駅 歩5分,築13年,3階建,1階,21万円,-,42万円,21万円,1SDK,74.86m2,https://suumo.jp/chintai/jnc_000077072226/?bc=100298645329
10401,ＪＲ山手線 田町駅 地下2地上15階建 築32年,賃貸マンション,東京都港区芝浦４,ＪＲ山手線/田町駅 歩12分,築32年,地下2地上15階建,6階,21.8万円,15000円,21.8万円,21.8万円,1LDK,52.37m2,https://suumo.jp/chintai/jnc_000077488758/?bc=100233255731
10402,ＪＲ山手線 田町駅 地下2地上15階建 築32年,賃貸マンション,東京都港区芝浦４,ＪＲ山手線/田町駅 歩12分,築32年,地下2地上15階建,7階,23万円,15000円,23万円,23万円,3DK,52.37m2,https://suumo.jp/chintai/jnc_000078723306/?bc=100308926285
10407,東急東横線 多摩川駅 2階建 築17年,賃貸テラス・タウンハウス,東京都大田区田園調布２,東急東横線/多摩川駅 歩8分,築17年,2階建,1階,21万円,-,21万円,21万円,2LDK,64.17m2,https://suumo.jp/chintai/jnc_000077233900/?bc=100307980722
10410,東急大井町線 緑が丘駅 2階建 築38年,賃貸一戸建て,東京都世田谷区奥沢１,東急大井町線/緑が丘駅 歩3分,築38年,2階建,1階,10.5万円,-,21万円,-,2DK,60.75m2,https://suumo.jp/chintai/jnc_000079006509/?bc=100309022691
10411,東急大井町線 緑が丘駅 2階建 築38年,賃貸一戸建て,東京都世田谷区奥沢１,東急大井町線/緑が丘駅 歩3分,築38年,2階建,1階,10.5万円,-,21万円,-,2DK,60.75m2,https://suumo.jp/chintai/jnc_000078992407/?bc=100308929753
10412,東急大井町線 緑が丘駅 2階建 築38年,賃貸一戸建て,東京都世田谷区奥沢１,東急大井町線/緑が丘駅 歩3分,築38年,2階建,2階,12.5万円,-,25万円,-,2LDK,62.55m2,https://suumo.jp/chintai/jnc_000079006510/?bc=100309022690
10413,東急大井町線 緑が丘駅 2階建 築38年,賃貸一戸建て,東京都世田谷区奥沢１,東急大井町線/緑が丘駅 歩3分,築38年,2階建,1-2階,12.5万円,-,25万円,-,2LDK,62.55m2,https://suumo.jp/chintai/jnc_000078992408/?bc=100308927604
10422,奥沢１丁目貸家,賃貸一戸建て,東京都世田谷区奥沢１,東急東横線/自由が丘駅 歩14分,築38年,2階建,1階,10.5万円,-,21万円,-,2DK,60.75m2,https://suumo.jp/chintai/jnc_000078979148/?bc=100308890235
10423,奥沢１丁目貸家,賃貸一戸建て,東京都世田谷区奥沢１,東急東横線/自由が丘駅 歩14分,築38年,2階建,2階,12.5万円,-,25万円,-,2LDK,62.55m2,https://suumo.jp/chintai/jnc_000078979149/?bc=100309022637
10428,奥沢１丁目貸家,賃貸一戸建て,東京都世田谷区奥沢１,東急大井町線/緑が丘駅 歩3分,築38年,2階建,1階,10.5万円,-,21万円,-,2DK,60.75m2,https://suumo.jp/chintai/jnc_000078998344/?bc=100308953949
10431,モニュメントスクウェア　壱番館,賃貸マンション,東京都大田区南馬込２,都営浅草線/西馬込駅 歩12分,築22年,3階建,2階,14.7万円,12000円,7.35万円,7.35万円,2LDK,55.59m2,https://suumo.jp/chintai/jnc_000078769124/?bc=100307565644
10432,モニュメントスクウェア　壱番館,賃貸マンション,東京都大田区南馬込２,都営浅草線/西馬込駅 歩12分,築22年,3階建,2階,15万円,12000円,7.5万円,7.5万円,2LDK,55.59m2,https://suumo.jp/chintai/jnc_000078305597/?bc=100305037789
10433,モニュメントスクウェア　壱番館,賃貸マンション,東京都大田区南馬込２,都営浅草線/西馬込駅 歩12分,築22年,3階建,2階,15万円,12000円,7.5万円,7.5万円,2LDK,55.59m2,https://suumo.jp/chintai/jnc_000078462151/?bc=100305860811
10440,メゾンエル桜新町,賃貸マンション,東京都世田谷区桜新町１,東急田園都市線/桜新町駅 歩6分,築40年,9階建,5階,15万円,6000円,15万円,15万円,1LDK,51.99m2,https://suumo.jp/chintai/jnc_000078568227/?bc=100306627283
10443,都営大江戸線 中井駅 4階建 築22年,賃貸マンション,東京都新宿区中井２,都営大江戸線/中井駅 歩5分,築22年,4階建,2階,21.5万円,5000円,21.5万円,21.5万円,2LDK,80.16m2,https://suumo.jp/chintai/jnc_000077383379/?bc=100300351445
10446,コモレビ大蔵　Ｐ棟,賃貸テラス・タウンハウス,東京都世田谷区大蔵５,小田急線/成城学園前駅 歩21分,築12年,2階建,1-2階,21万円,12000円,-,30万円,3LDK,89.36m2,https://suumo.jp/chintai/jnc_000079138692/?bc=100309780846
10447,コモレビ大蔵　Ｐ棟,賃貸テラス・タウンハウス,東京都世田谷区大蔵５,小田急線/成城学園前駅 歩21分,築12年,2階建,1-2階,23.5万円,12000円,-,40万円,4LDK,119.31m2,https://suumo.jp/chintai/jnc_000077554320/?bc=100286271193
10452,上野毛マープル松原,賃貸マンション,東京都世田谷区上野毛３,東急大井町線/上野毛駅 歩8分,築47年,6階建,3階,18万円,19000円,18万円,18万円,2LDK,64.94m2,https://suumo.jp/chintai/jnc_000077489409/?bc=100304381700
10455,小田急線 祖師ヶ谷大蔵駅 2階建 築6年,賃貸アパート,東京都世田谷区砧１,小田急線/祖師ヶ谷大蔵駅 歩16分,築6年,2階建,1階,14.5万円,5000円,14.5万円,14.5万円,1LDK,51.57m2,https://suumo.jp/chintai/jnc_000077897411/?bc=100303229665
10456,小田急線 祖師ヶ谷大蔵駅 2階建 築6年,賃貸アパート,東京都世田谷区砧１,小田急線/祖師ヶ谷大蔵駅 歩16分,築6年,2階建,1階,14.5万円,6000円,-,20万円,1SLDK,51.57m2,https://suumo.jp/chintai/jnc_000077805892/?bc=100303037944
10461,ＪＲ山手線 目白駅 3階建 築33年,賃貸マンション,東京都新宿区下落合４,ＪＲ山手線/目白駅 歩12分,築33年,3階建,1階,18万円,10000円,-,-,2LDK,94.18m2,https://suumo.jp/chintai/jnc_000078858750/?bc=100309196947
10464,K.S.T　BLD,賃貸マンション,東京都大田区西馬込２,都営浅草線/西馬込駅 歩1分,築33年,12階建,2階,14.9万円,10000円,14.9万円,14.9万円,2LDK,62.25m2,https://suumo.jp/chintai/jnc_000079037533/?bc=100309425133
10465,K.S.T　BLD,賃貸マンション,東京都大田区西馬込２,都営浅草線/西馬込駅 歩1分,築33年,12階建,7階,18.4万円,10000円,18.4万円,18.4万円,2LDK,75.53m2,https://suumo.jp/chintai/jnc_000075186323/?bc=100289718323
10470,グランコート駒込,賃貸マンション,東京都豊島区駒込３,ＪＲ山手線/駒込駅 歩3分,築42年,地下1地上6階建,2階,14.8万円,12000円,14.8万円,14.8万円,2LDK,50m2,https://suumo.jp/chintai/jnc_000077099373/?bc=100298890221
10471,グランコート駒込,賃貸マンション,東京都豊島区駒込３,ＪＲ山手線/駒込駅 歩3分,築42年,地下1地上6階建,6階,21.8万円,13000円,21.8万円,21.8万円,1LDK,70m2,https://suumo.jp/chintai/jnc_000079037956/?bc=100309178569
10476,グランフォート洗足池,賃貸マンション,東京都大田区東雪谷１,東急池上線/洗足池駅 歩1分,築18年,8階建,4階,15.2万円,8000円,15.2万円,15.2万円,1SLDK,53.08m2,https://suumo.jp/chintai/jnc_000063605145/?bc=100309798446
10479,Villa Rondo,賃貸マンション,東京都世田谷区上北沢４,京王線/八幡山駅 歩1分,築17年,地下1地上5階建,1階,17.9万円,-,35.8万円,-,1LDK,57.69m2,https://suumo.jp/chintai/jnc_000077610297/?bc=100307960865
10480,Villa Rondo,賃貸マンション,東京都世田谷区上北沢４,京王線/八幡山駅 歩1分,築17年,地下1地上5階建,3階,18.5万円,-,37万円,-,1LDK,61.36m2,https://suumo.jp/chintai/jnc_000078831667/?bc=100308000283
10485,京成本線 町屋駅 3階建 築15年,賃貸一戸建て,東京都荒川区町屋３,京成本線/町屋駅 歩6分,築15年,3階建,1階,19万円,-,38万円,19万円,3LDK,97.2m2,https://suumo.jp/chintai/jnc_000079099897/?bc=100309560185
10488,マンション武蔵野II,賃貸マンション,東京都荒川区東日暮里２,東京メトロ日比谷線/三ノ輪駅 歩9分,築27年,8階建,2階,16.5万円,15000円,16.5万円,16.5万円,4LDK,80.89m2,https://suumo.jp/chintai/jnc_000079064037/?bc=100306359671
10491,りんかい線 品川シーサイド駅 14階建 築39年,賃貸マンション,東京都品川区八潮５,りんかい線/品川シーサイド駅 歩18分,築39年,14階建,3階,11.7万円,-,-,-,3DK,61.62m2,https://suumo.jp/chintai/jnc_000078437976/?bc=100307611739
10492,りんかい線 品川シーサイド駅 14階建 築39年,賃貸マンション,東京都品川区八潮５,りんかい線/品川シーサイド駅 歩18分,築39年,14階建,11階,11.9万円,-,-,-,3DK,61.62m2,https://suumo.jp/chintai/jnc_000078657255/?bc=100304258569
10493,りんかい線 品川シーサイド駅 14階建 築39年,賃貸マンション,東京都品川区八潮５,りんかい線/品川シーサイド駅 歩18分,築39年,14階建,11階,11.9万円,-,-,-,3DK,61.62m2,https://suumo.jp/chintai/jnc_000078148668/?bc=100309785949
10494,りんかい線 品川シーサイド駅 14階建 築39年,賃貸マンション,東京都品川区八潮５,りんかい線/品川シーサイド駅 歩18分,築39年,14階建,10階,12万円,-,-,-,3DK,64.03m2,https://suumo.jp/chintai/jnc_000078575575/?bc=100304258552
10503,小田急線 成城学園前駅 2階建 築12年,賃貸テラス・タウンハウス,東京都世田谷区大蔵５,小田急線/成城学園前駅 歩24分,築12年,2階建,1階,21万円,12000円,-,30万円,3LDK,89.36m2,https://suumo.jp/chintai/jnc_000079138693/?bc=100309791658
10504,小田急線 成城学園前駅 2階建 築12年,賃貸テラス・タウンハウス,東京都世田谷区大蔵５,小田急線/成城学園前駅 歩24分,築12年,2階建,1階,23.5万円,12000円,-,40万円,4LDK,119.31m2,https://suumo.jp/chintai/jnc_000077560485/?bc=100309182179
10509,シャンボール三軒茶屋,賃貸マンション,東京都世田谷区三軒茶屋２,東急田園都市線/三軒茶屋駅 歩2分,築45年,13階建,4階,13.3万円,5000円,13.3万円,13.3万円,3DK,50.1m2,https://suumo.jp/chintai/jnc_000078963904/?bc=100267859039
10510,シャンボール三軒茶屋,賃貸マンション,東京都世田谷区三軒茶屋２,東急田園都市線/三軒茶屋駅 歩2分,築45年,13階建,6階,14.8万円,-,14.8万円,-,3DK,50.1m2,https://suumo.jp/chintai/jnc_000079013176/?bc=100309435836
10515,京王新線 幡ヶ谷駅 地下2地上13階建 築51年,賃貸マンション,東京都渋谷区幡ヶ谷１,京王新線/幡ヶ谷駅 歩1分,築51年,地下2地上13階建,6階,18万円,10000円,18万円,18万円,2LDK,56.19m2,https://suumo.jp/chintai/jnc_000075884380/?bc=100291520727
10516,京王新線 幡ヶ谷駅 地下2地上13階建 築51年,賃貸マンション,東京都渋谷区幡ヶ谷１,京王新線/幡ヶ谷駅 歩1分,築51年,地下2地上13階建,6階,18万円,10000円,18万円,18万円,2LDK,56.19m2,https://suumo.jp/chintai/jnc_000078837405/?bc=100307947908
10521,新神楽坂ハウス,賃貸マンション,東京都新宿区新小川町,東京メトロ南北線/飯田橋駅 歩5分,築40年,9階建,4階,22万円,-,22万円,22万円,2LDK,61.45m2,https://suumo.jp/chintai/jnc_000069387585/?bc=100309712831
10524,東京メトロ有楽町線 辰巳駅 地下1地上14階建 築19年,賃貸マンション,東京都江東区東雲１,東京メトロ有楽町線/辰巳駅 歩9分,築19年,地下1地上14階建,9階,15.6万円,12000円,15.6万円,15.6万円,ワンルーム,59.63m2,https://suumo.jp/chintai/jnc_000078889681/?bc=100308309755
10525,東京メトロ有楽町線 辰巳駅 地下1地上14階建 築19年,賃貸マンション,東京都江東区東雲１,東京メトロ有楽町線/辰巳駅 歩9分,築19年,地下1地上14階建,11階,17.1万円,12000円,17.1万円,-,1LDK,57.34m2,https://suumo.jp/chintai/jnc_000077499198/?bc=100301124233
10530,北小岩ワイエムガーデン 205号,賃貸マンション,東京都江戸川区北小岩５,ＪＲ総武線/小岩駅 歩16分,築26年,5階建,2階,10.5万円,10000円,10.5万円,-,ワンルーム,50.76m2,https://suumo.jp/chintai/jnc_000076171681/?bc=100293631385
10533,プラムハイツ西糀谷,賃貸マンション,東京都大田区西糀谷２,京急空港線/糀谷駅 歩14分,築26年,5階建,4階,14万円,5000円,-,-,2SLDK,66.7m2,https://suumo.jp/chintai/jnc_000079127620/?bc=100309711720
10536,エステシオン大森,賃貸マンション,東京都大田区大森中２,京急本線/梅屋敷駅 歩3分,築31年,13階建,8階,14.5万円,13500円,14.5万円,14.5万円,2LDK,53.13m2,https://suumo.jp/chintai/jnc_000071105026/?bc=100304558958
10537,エステシオン大森,賃貸マンション,東京都大田区大森中２,京急本線/梅屋敷駅 歩3分,築31年,13階建,9階,15.5万円,13500円,15.5万円,15.5万円,2LDK,55.78m2,https://suumo.jp/chintai/jnc_000075767533/?bc=100290989650
10538,エステシオン大森,賃貸マンション,東京都大田区大森中２,京急本線/梅屋敷駅 歩3分,築31年,13階建,8階,16万円,13500円,16万円,16万円,2LDK,63.13m2,https://suumo.jp/chintai/jnc_000050601843/?bc=100309668433
10545,東急田園都市線 駒沢大学駅 15階建 築16年,賃貸マンション,東京都世田谷区駒沢２,東急田園都市線/駒沢大学駅 歩2分,築16年,15階建,14階,21万円,10000円,21万円,-,2DK,50.35m2,https://suumo.jp/chintai/jnc_000078040559/?bc=100309072023
10548,コスモ西蒲田,賃貸マンション,東京都大田区西蒲田７,東急池上線/蓮沼駅 歩3分,築25年,14階建,14階,19万円,15000円,19万円,19万円,2LDK,56.22m2,https://suumo.jp/chintai/jnc_000079056679/?bc=100309465605
10549,コスモ西蒲田,賃貸マンション,東京都大田区西蒲田７,東急池上線/蓮沼駅 歩3分,築25年,14階建,14階,19.5万円,15000円,19.5万円,19.5万円,2LDK,56.22m2,https://suumo.jp/chintai/jnc_000077656844/?bc=100307428734
10554,ソフィステージ世田谷野毛,賃貸マンション,東京都世田谷区野毛２,東急大井町線/等々力駅 歩13分,築27年,5階建,3階,25万円,-,25万円,25万円,3LDK,75.13m2,https://suumo.jp/chintai/jnc_000077656938/?bc=100306372690
10557,東京メトロ日比谷線 三ノ輪駅 6階建 新築,賃貸マンション,東京都荒川区南千住１,東京メトロ日比谷線/三ノ輪駅 歩7分,新築,6階建,5階,16.6万円,10000円,16.6万円,16.6万円,2LDK,53.8m2,https://suumo.jp/chintai/jnc_000076782982/?bc=100308149527
10560,ウィルテラス新代田,賃貸マンション,東京都世田谷区羽根木１,小田急線/下北沢駅 歩8分,築23年,9階建,4階,18.1万円,12000円,18.1万円,18.1万円,1LDK,61.75m2,https://suumo.jp/chintai/jnc_000076950322/?bc=100298051194
10561,ウィルテラス新代田,賃貸マンション,東京都世田谷区羽根木１,小田急線/下北沢駅 歩8分,築23年,9階建,4階,18.1万円,12000円,18.1万円,18.1万円,1LDK,61.75m2,https://suumo.jp/chintai/jnc_000079099627/?bc=100309580562
10566,高輪ペアシティ,賃貸マンション,東京都港区高輪４,都営浅草線/高輪台駅 歩11分,築47年,9階建,5階,21万円,10000円,21万円,21万円,2LDK,59.16m2,https://suumo.jp/chintai/jnc_000079120260/?bc=100309704174
10569,ライオンズマンション麻布十番第２,賃貸マンション,東京都港区麻布十番２,東京メトロ南北線/麻布十番駅 歩1分,築41年,10階建,6階,22万円,-,44万円,22万円,2LDK,55m2,https://suumo.jp/chintai/jnc_000047491476/?bc=100309654171
10572,新交通ゆりかもめ 芝浦ふ頭駅 11階建 築15年,賃貸マンション,東京都港区海岸３,新交通ゆりかもめ/芝浦ふ頭駅 歩10分,築15年,11階建,11階,19.5万円,20000円,19.5万円,19.5万円,2LDK,54.68m2,https://suumo.jp/chintai/jnc_000078820501/?bc=100308514290
10573,新交通ゆりかもめ 芝浦ふ頭駅 11階建 築15年,賃貸マンション,東京都港区海岸３,新交通ゆりかもめ/芝浦ふ頭駅 歩10分,築15年,11階建,9階,20.71万円,12900円,-,20.71万円,1LDK,51.68m2,https://suumo.jp/chintai/jnc_000076283127/?bc=100279231517
10578,ハウス東雪谷,賃貸マンション,東京都大田区東雪谷２,東急池上線/石川台駅 歩4分,築32年,地下1地上4階建,2階,17.5万円,5000円,-,17.5万円,2LDK,76.84m2,https://suumo.jp/chintai/jnc_000079144563/?bc=100309803785
10579,ハウス東雪谷,賃貸マンション,東京都大田区東雪谷２,東急池上線/石川台駅 歩4分,築32年,地下1地上4階建,2階,21万円,10000円,21万円,21万円,2LDK,76.84m2,https://suumo.jp/chintai/jnc_000079115347/?bc=100309740962
10584,京王井の頭線 下北沢駅 4階建 築17年,賃貸マンション,東京都世田谷区代田５,京王井の頭線/下北沢駅 歩4分,築17年,4階建,1階,16.8万円,12000円,16.8万円,16.8万円,1DK,50.1m2,https://suumo.jp/chintai/jnc_000066048479/?bc=100309836501
10587,ステラコート,賃貸マンション,東京都大田区東糀谷１,京急本線/京急蒲田駅 歩22分,築23年,7階建,7階,14.6万円,10000円,21.9万円,14.6万円,2LDK,53.7m2,https://suumo.jp/chintai/jnc_000077826331/?bc=100309475098
10588,ステラコート,賃貸マンション,東京都大田区東糀谷１,京急本線/京急蒲田駅 歩22分,築23年,7階建,6階,14.6万円,10000円,21.9万円,14.6万円,2LDK,53.7m2,https://suumo.jp/chintai/jnc_000077819061/?bc=100307905688
10589,ステラコート,賃貸マンション,東京都大田区東糀谷１,京急本線/京急蒲田駅 歩22分,築23年,7階建,6階,14.6万円,10000円,21.9万円,14.6万円,2LDK,53.7m2,https://suumo.jp/chintai/jnc_000077832991/?bc=100308334954
